n_episode : 132, Total Frames : 6920, Average Score : 131.3, Episode Score : 0.0, Best Score : 860.0, n_buffer : 6920, eps : 93.4%
n_episode : 133, Total Frames : 6965, Average Score : 131.2, Episode Score : 120.0, Best Score : 860.0, n_buffer : 6965, eps : 93.4%
n_episode : 134, Total Frames : 7012, Average Score : 131.0, Episode Score : 110.0, Best Score : 860.0, n_buffer : 7012, eps : 93.3%
n_episode : 135, Total Frames : 7059, Average Score : 131.3, Episode Score : 160.0, Best Score : 860.0, n_buffer : 7059, eps : 93.3%
n_episode : 136, Total Frames : 7115, Average Score : 131.2, Episode Score : 120.0, Best Score : 860.0, n_buffer : 7115, eps : 93.3%
n_episode : 137, Total Frames : 7156, Average Score : 130.9, Episode Score : 100.0, Best Score : 860.0, n_buffer : 7156, eps : 93.2%
n_episode : 138, Total Frames : 7200, Average Score : 130.6, Episode Score : 80.0, Best Score : 860.0, n_buffer : 7200, eps : 93.2%
n_episode : 139, Total Frames : 7253, Average Score : 131.0, Episode Score : 190.0, Best Score : 860.0, n_buffer : 7253, eps : 93.1%
n_episode : 140, Total Frames : 7288, Average Score : 131.0, Episode Score : 130.0, Best Score : 860.0, n_buffer : 7288, eps : 93.1%
n_episode : 141, Total Frames : 7344, Average Score : 131.1, Episode Score : 150.0, Best Score : 860.0, n_buffer : 7344, eps : 93.0%
n_episode : 142, Total Frames : 7414, Average Score : 131.3, Episode Score : 150.0, Best Score : 860.0, n_buffer : 7414, eps : 93.0%
n_episode : 143, Total Frames : 7459, Average Score : 130.8, Episode Score : 60.0, Best Score : 860.0, n_buffer : 7459, eps : 92.9%
n_episode : 144, Total Frames : 7484, Average Score : 130.2, Episode Score : 50.0, Best Score : 860.0, n_buffer : 7484, eps : 92.9%
n_episode : 145, Total Frames : 7550, Average Score : 130.4, Episode Score : 160.0, Best Score : 860.0, n_buffer : 7550, eps : 92.9%
n_episode : 146, Total Frames : 7607, Average Score : 130.3, Episode Score : 110.0, Best Score : 860.0, n_buffer : 7607, eps : 92.8%
n_episode : 147, Total Frames : 7627, Average Score : 129.5, Episode Score : 10.0, Best Score : 860.0, n_buffer : 7627, eps : 92.7%
n_episode : 148, Total Frames : 7674, Average Score : 129.5, Episode Score : 140.0, Best Score : 860.0, n_buffer : 7674, eps : 92.7%
n_episode : 149, Total Frames : 7688, Average Score : 128.9, Episode Score : 30.0, Best Score : 860.0, n_buffer : 7688, eps : 92.7%
n_episode : 150, Total Frames : 7733, Average Score : 128.7, Episode Score : 100.0, Best Score : 860.0, n_buffer : 7733, eps : 92.7%
n_episode : 151, Total Frames : 7790, Average Score : 128.6, Episode Score : 120.0, Best Score : 860.0, n_buffer : 7790, eps : 92.6%
n_episode : 152, Total Frames : 7878, Average Score : 130.8, Episode Score : 460.0, Best Score : 860.0, n_buffer : 7878, eps : 92.6%
n_episode : 153, Total Frames : 7912, Average Score : 130.3, Episode Score : 50.0, Best Score : 860.0, n_buffer : 7912, eps : 92.5%
n_episode : 154, Total Frames : 8005, Average Score : 131.2, Episode Score : 270.0, Best Score : 860.0, n_buffer : 8005, eps : 92.5%
n_episode : 155, Total Frames : 8021, Average Score : 130.3, Episode Score : 0.0, Best Score : 860.0, n_buffer : 8021, eps : 92.4%
n_episode : 156, Total Frames : 8132, Average Score : 131.2, Episode Score : 260.0, Best Score : 860.0, n_buffer : 8132, eps : 92.4%
n_episode : 157, Total Frames : 8265, Average Score : 134.5, Episode Score : 650.0, Best Score : 860.0, n_buffer : 8265, eps : 92.3%
n_episode : 158, Total Frames : 8326, Average Score : 134.6, Episode Score : 160.0, Best Score : 860.0, n_buffer : 8326, eps : 92.1%
n_episode : 159, Total Frames : 8369, Average Score : 134.3, Episode Score : 80.0, Best Score : 860.0, n_buffer : 8369, eps : 92.1%
n_episode : 160, Total Frames : 8415, Average Score : 134.2, Episode Score : 130.0, Best Score : 860.0, n_buffer : 8415, eps : 92.1%
n_episode : 161, Total Frames : 8464, Average Score : 134.0, Episode Score : 90.0, Best Score : 860.0, n_buffer : 8464, eps : 92.0%
n_episode : 162, Total Frames : 8510, Average Score : 134.0, Episode Score : 130.0, Best Score : 860.0, n_buffer : 8510, eps : 92.0%
n_episode : 163, Total Frames : 8566, Average Score : 133.9, Episode Score : 130.0, Best Score : 860.0, n_buffer : 8566, eps : 91.9%
n_episode : 164, Total Frames : 8603, Average Score : 133.2, Episode Score : 10.0, Best Score : 860.0, n_buffer : 8603, eps : 91.9%
n_episode : 165, Total Frames : 8647, Average Score : 133.1, Episode Score : 120.0, Best Score : 860.0, n_buffer : 8647, eps : 91.8%
n_episode : 166, Total Frames : 8708, Average Score : 133.3, Episode Score : 160.0, Best Score : 860.0, n_buffer : 8708, eps : 91.8%
