n_episode : 98, Total Frames : 5152, Average Score : 138.0, Episode Score : 150.0, Best Score : 940.0, n_buffer : 5152, eps : 95.1%
n_episode : 99, Total Frames : 5191, Average Score : 137.1, Episode Score : 50.0, Best Score : 940.0, n_buffer : 5191, eps : 95.0%
n_episode : 100, Total Frames : 5243, Average Score : 137.8, Episode Score : 210.0, Best Score : 940.0, n_buffer : 5243, eps : 95.0%
n_episode : 101, Total Frames : 5278, Average Score : 137.5, Episode Score : 110.0, Best Score : 940.0, n_buffer : 5278, eps : 94.9%
n_episode : 102, Total Frames : 5292, Average Score : 136.4, Episode Score : 20.0, Best Score : 940.0, n_buffer : 5292, eps : 94.9%
n_episode : 103, Total Frames : 5359, Average Score : 137.3, Episode Score : 230.0, Best Score : 940.0, n_buffer : 5359, eps : 94.9%
n_episode : 104, Total Frames : 5405, Average Score : 137.1, Episode Score : 120.0, Best Score : 940.0, n_buffer : 5405, eps : 94.8%
n_episode : 105, Total Frames : 5425, Average Score : 136.1, Episode Score : 30.0, Best Score : 940.0, n_buffer : 5425, eps : 94.8%
n_episode : 106, Total Frames : 5482, Average Score : 135.9, Episode Score : 120.0, Best Score : 940.0, n_buffer : 5482, eps : 94.8%
n_episode : 107, Total Frames : 5528, Average Score : 135.5, Episode Score : 90.0, Best Score : 940.0, n_buffer : 5528, eps : 94.7%
n_episode : 108, Total Frames : 5579, Average Score : 134.9, Episode Score : 70.0, Best Score : 940.0, n_buffer : 5579, eps : 94.7%
n_episode : 109, Total Frames : 5624, Average Score : 134.1, Episode Score : 50.0, Best Score : 940.0, n_buffer : 5624, eps : 94.6%
n_episode : 110, Total Frames : 5678, Average Score : 133.8, Episode Score : 100.0, Best Score : 940.0, n_buffer : 5678, eps : 94.6%
n_episode : 111, Total Frames : 5722, Average Score : 133.2, Episode Score : 60.0, Best Score : 940.0, n_buffer : 5722, eps : 94.5%
n_episode : 112, Total Frames : 5782, Average Score : 133.2, Episode Score : 140.0, Best Score : 940.0, n_buffer : 5782, eps : 94.5%
n_episode : 113, Total Frames : 5873, Average Score : 134.6, Episode Score : 290.0, Best Score : 940.0, n_buffer : 5873, eps : 94.4%
n_episode : 114, Total Frames : 5921, Average Score : 134.2, Episode Score : 90.0, Best Score : 940.0, n_buffer : 5921, eps : 94.4%
n_episode : 115, Total Frames : 5984, Average Score : 134.9, Episode Score : 210.0, Best Score : 940.0, n_buffer : 5984, eps : 94.3%
n_episode : 116, Total Frames : 6028, Average Score : 134.4, Episode Score : 80.0, Best Score : 940.0, n_buffer : 6028, eps : 94.2%
n_episode : 117, Total Frames : 6062, Average Score : 133.9, Episode Score : 80.0, Best Score : 940.0, n_buffer : 6062, eps : 94.2%
n_episode : 118, Total Frames : 6129, Average Score : 134.0, Episode Score : 140.0, Best Score : 940.0, n_buffer : 6129, eps : 94.2%
n_episode : 119, Total Frames : 6174, Average Score : 133.5, Episode Score : 80.0, Best Score : 940.0, n_buffer : 6174, eps : 94.1%
n_episode : 120, Total Frames : 6230, Average Score : 134.0, Episode Score : 190.0, Best Score : 940.0, n_buffer : 6230, eps : 94.1%
n_episode : 121, Total Frames : 6286, Average Score : 134.4, Episode Score : 180.0, Best Score : 940.0, n_buffer : 6286, eps : 94.0%
n_episode : 122, Total Frames : 6334, Average Score : 134.8, Episode Score : 180.0, Best Score : 940.0, n_buffer : 6334, eps : 94.0%
n_episode : 123, Total Frames : 6538, Average Score : 137.9, Episode Score : 520.0, Best Score : 940.0, n_buffer : 6538, eps : 93.9%
n_episode : 124, Total Frames : 6596, Average Score : 138.1, Episode Score : 170.0, Best Score : 940.0, n_buffer : 6596, eps : 93.7%
n_episode : 125, Total Frames : 6642, Average Score : 138.5, Episode Score : 180.0, Best Score : 940.0, n_buffer : 6642, eps : 93.7%
n_episode : 126, Total Frames : 6690, Average Score : 137.7, Episode Score : 40.0, Best Score : 940.0, n_buffer : 6690, eps : 93.6%
n_episode : 127, Total Frames : 6732, Average Score : 137.1, Episode Score : 60.0, Best Score : 940.0, n_buffer : 6732, eps : 93.6%
n_episode : 128, Total Frames : 6780, Average Score : 136.9, Episode Score : 110.0, Best Score : 940.0, n_buffer : 6780, eps : 93.6%
