n_episode : 69, Total Frames : 3279, Average Score : 34.8, Episode Score : 30.0, Best Score : 175.0, n_buffer : 3279, eps : 96.8%
n_episode : 70, Total Frames : 3319, Average Score : 34.4, Episode Score : 10.0, Best Score : 175.0, n_buffer : 3319, eps : 96.8%
n_episode : 71, Total Frames : 3334, Average Score : 34.0, Episode Score : 5.0, Best Score : 175.0, n_buffer : 3334, eps : 96.8%
n_episode : 72, Total Frames : 3421, Average Score : 34.8, Episode Score : 90.0, Best Score : 175.0, n_buffer : 3421, eps : 96.8%
n_episode : 73, Total Frames : 3475, Average Score : 35.1, Episode Score : 55.0, Best Score : 175.0, n_buffer : 3475, eps : 96.7%
n_episode : 74, Total Frames : 3519, Average Score : 34.9, Episode Score : 25.0, Best Score : 175.0, n_buffer : 3519, eps : 96.6%
n_episode : 75, Total Frames : 3583, Average Score : 35.4, Episode Score : 70.0, Best Score : 175.0, n_buffer : 3583, eps : 96.6%
n_episode : 76, Total Frames : 3677, Average Score : 35.5, Episode Score : 40.0, Best Score : 175.0, n_buffer : 3677, eps : 96.5%
n_episode : 77, Total Frames : 3715, Average Score : 35.3, Episode Score : 20.0, Best Score : 175.0, n_buffer : 3715, eps : 96.4%
n_episode : 78, Total Frames : 3731, Average Score : 35.5, Episode Score : 55.0, Best Score : 175.0, n_buffer : 3731, eps : 96.4%
n_episode : 79, Total Frames : 3777, Average Score : 35.6, Episode Score : 40.0, Best Score : 175.0, n_buffer : 3777, eps : 96.4%
n_episode : 80, Total Frames : 3806, Average Score : 35.3, Episode Score : 15.0, Best Score : 175.0, n_buffer : 3806, eps : 96.3%
n_episode : 81, Total Frames : 3846, Average Score : 34.9, Episode Score : 5.0, Best Score : 175.0, n_buffer : 3846, eps : 96.3%
n_episode : 82, Total Frames : 3897, Average Score : 34.9, Episode Score : 30.0, Best Score : 175.0, n_buffer : 3897, eps : 96.3%
n_episode : 83, Total Frames : 3911, Average Score : 34.8, Episode Score : 25.0, Best Score : 175.0, n_buffer : 3911, eps : 96.2%
n_episode : 84, Total Frames : 4051, Average Score : 39.0, Episode Score : 390.0, Best Score : 390.0, n_buffer : 4051, eps : 96.2%
n_episode : 85, Total Frames : 4099, Average Score : 38.7, Episode Score : 15.0, Best Score : 390.0, n_buffer : 4099, eps : 96.1%
n_episode : 86, Total Frames : 4116, Average Score : 38.4, Episode Score : 15.0, Best Score : 390.0, n_buffer : 4116, eps : 96.0%
n_episode : 87, Total Frames : 4173, Average Score : 38.2, Episode Score : 20.0, Best Score : 390.0, n_buffer : 4173, eps : 96.0%
n_episode : 88, Total Frames : 4199, Average Score : 38.0, Episode Score : 15.0, Best Score : 390.0, n_buffer : 4199, eps : 96.0%
n_episode : 89, Total Frames : 4239, Average Score : 38.1, Episode Score : 50.0, Best Score : 390.0, n_buffer : 4239, eps : 95.9%
n_episode : 90, Total Frames : 4285, Average Score : 37.8, Episode Score : 15.0, Best Score : 390.0, n_buffer : 4285, eps : 95.9%
n_episode : 91, Total Frames : 4360, Average Score : 37.6, Episode Score : 20.0, Best Score : 390.0, n_buffer : 4360, eps : 95.8%
n_episode : 92, Total Frames : 4439, Average Score : 37.8, Episode Score : 50.0, Best Score : 390.0, n_buffer : 4439, eps : 95.8%
n_episode : 93, Total Frames : 4493, Average Score : 38.2, Episode Score : 80.0, Best Score : 390.0, n_buffer : 4493, eps : 95.7%
n_episode : 94, Total Frames : 4585, Average Score : 38.2, Episode Score : 40.0, Best Score : 390.0, n_buffer : 4585, eps : 95.7%
n_episode : 95, Total Frames : 4614, Average Score : 38.0, Episode Score : 15.0, Best Score : 390.0, n_buffer : 4614, eps : 95.6%
n_episode : 96, Total Frames : 4661, Average Score : 38.5, Episode Score : 90.0, Best Score : 390.0, n_buffer : 4661, eps : 95.5%
n_episode : 97, Total Frames : 4704, Average Score : 38.6, Episode Score : 40.0, Best Score : 390.0, n_buffer : 4704, eps : 95.5%
n_episode : 98, Total Frames : 4746, Average Score : 38.5, Episode Score : 35.0, Best Score : 390.0, n_buffer : 4746, eps : 95.5%
n_episode : 99, Total Frames : 4783, Average Score : 38.1, Episode Score : 0.0, Best Score : 390.0, n_buffer : 4783, eps : 95.4%
n_episode : 100, Total Frames : 4812, Average Score : 37.8, Episode Score : 0.0, Best Score : 390.0, n_buffer : 4812, eps : 95.4%
n_episode : 101, Total Frames : 4833, Average Score : 37.4, Episode Score : 5.0, Best Score : 390.0, n_buffer : 4833, eps : 95.3%
n_episode : 102, Total Frames : 4859, Average Score : 37.5, Episode Score : 50.0, Best Score : 390.0, n_buffer : 4859, eps : 95.3%
n_episode : 103, Total Frames : 4926, Average Score : 37.4, Episode Score : 20.0, Best Score : 390.0, n_buffer : 4926, eps : 95.3%
n_episode : 104, Total Frames : 4960, Average Score : 37.1, Episode Score : 5.0, Best Score : 390.0, n_buffer : 4960, eps : 95.2%
n_episode : 105, Total Frames : 4998, Average Score : 37.3, Episode Score : 60.0, Best Score : 390.0, n_buffer : 4998, eps : 95.2%
n_episode : 106, Total Frames : 5055, Average Score : 37.2, Episode Score : 30.0, Best Score : 390.0, n_buffer : 5055, eps : 95.2%
n_episode : 107, Total Frames : 5163, Average Score : 37.3, Episode Score : 50.0, Best Score : 390.0, n_buffer : 5163, eps : 95.1%
n_episode : 108, Total Frames : 5214, Average Score : 37.7, Episode Score : 75.0, Best Score : 390.0, n_buffer : 5214, eps : 95.0%
n_episode : 109, Total Frames : 5257, Average Score : 37.4, Episode Score : 5.0, Best Score : 390.0, n_buffer : 5257, eps : 95.0%
n_episode : 110, Total Frames : 5275, Average Score : 37.1, Episode Score : 5.0, Best Score : 390.0, n_buffer : 5275, eps : 94.9%
n_episode : 111, Total Frames : 5294, Average Score : 36.8, Episode Score : 10.0, Best Score : 390.0, n_buffer : 5294, eps : 94.9%
n_episode : 112, Total Frames : 5360, Average Score : 36.9, Episode Score : 40.0, Best Score : 390.0, n_buffer : 5360, eps : 94.9%
n_episode : 113, Total Frames : 5402, Average Score : 36.5, Episode Score : 0.0, Best Score : 390.0, n_buffer : 5402, eps : 94.8%
n_episode : 114, Total Frames : 5441, Average Score : 36.2, Episode Score : 0.0, Best Score : 390.0, n_buffer : 5441, eps : 94.8%
n_episode : 115, Total Frames : 5472, Average Score : 35.9, Episode Score : 0.0, Best Score : 390.0, n_buffer : 5472, eps : 94.8%
n_episode : 116, Total Frames : 5487, Average Score : 35.6, Episode Score : 0.0, Best Score : 390.0, n_buffer : 5487, eps : 94.7%
n_episode : 117, Total Frames : 5500, Average Score : 35.4, Episode Score : 10.0, Best Score : 390.0, n_buffer : 5500, eps : 94.7%
n_episode : 118, Total Frames : 5549, Average Score : 35.1, Episode Score : 5.0, Best Score : 390.0, n_buffer : 5549, eps : 94.7%
n_episode : 119, Total Frames : 5589, Average Score : 34.9, Episode Score : 5.0, Best Score : 390.0, n_buffer : 5589, eps : 94.7%
n_episode : 120, Total Frames : 5609, Average Score : 34.6, Episode Score : 0.0, Best Score : 390.0, n_buffer : 5609, eps : 94.6%
n_episode : 121, Total Frames : 5674, Average Score : 34.5, Episode Score : 20.0, Best Score : 390.0, n_buffer : 5674, eps : 94.6%
n_episode : 122, Total Frames : 5746, Average Score : 35.1, Episode Score : 115.0, Best Score : 390.0, n_buffer : 5746, eps : 94.5%
n_episode : 123, Total Frames : 5766, Average Score : 35.1, Episode Score : 30.0, Best Score : 390.0, n_buffer : 5766, eps : 94.5%
n_episode : 124, Total Frames : 5859, Average Score : 36.6, Episode Score : 220.0, Best Score : 390.0, n_buffer : 5859, eps : 94.5%
n_episode : 125, Total Frames : 5898, Average Score : 36.4, Episode Score : 10.0, Best Score : 390.0, n_buffer : 5898, eps : 94.4%
n_episode : 126, Total Frames : 5927, Average Score : 36.1, Episode Score : 5.0, Best Score : 390.0, n_buffer : 5927, eps : 94.3%
n_episode : 127, Total Frames : 5956, Average Score : 35.9, Episode Score : 10.0, Best Score : 390.0, n_buffer : 5956, eps : 94.3%
n_episode : 128, Total Frames : 6135, Average Score : 37.1, Episode Score : 195.0, Best Score : 390.0, n_buffer : 6135, eps : 94.3%
n_episode : 129, Total Frames : 6195, Average Score : 37.2, Episode Score : 45.0, Best Score : 390.0, n_buffer : 6195, eps : 94.1%
n_episode : 130, Total Frames : 6244, Average Score : 37.3, Episode Score : 50.0, Best Score : 390.0, n_buffer : 6244, eps : 94.1%
n_episode : 131, Total Frames : 6265, Average Score : 37.0, Episode Score : 0.0, Best Score : 390.0, n_buffer : 6265, eps : 94.0%
n_episode : 132, Total Frames : 6315, Average Score : 37.2, Episode Score : 60.0, Best Score : 390.0, n_buffer : 6315, eps : 94.0%
n_episode : 133, Total Frames : 6343, Average Score : 36.9, Episode Score : 0.0, Best Score : 390.0, n_buffer : 6343, eps : 93.9%
n_episode : 134, Total Frames : 6454, Average Score : 37.6, Episode Score : 130.0, Best Score : 390.0, n_buffer : 6454, eps : 93.9%
n_episode : 135, Total Frames : 6474, Average Score : 37.3, Episode Score : 0.0, Best Score : 390.0, n_buffer : 6474, eps : 93.8%
n_episode : 136, Total Frames : 6524, Average Score : 37.2, Episode Score : 20.0, Best Score : 390.0, n_buffer : 6524, eps : 93.8%
n_episode : 137, Total Frames : 6609, Average Score : 37.4, Episode Score : 60.0, Best Score : 390.0, n_buffer : 6609, eps : 93.7%
n_episode : 138, Total Frames : 6629, Average Score : 37.5, Episode Score : 55.0, Best Score : 390.0, n_buffer : 6629, eps : 93.7%
n_episode : 139, Total Frames : 6686, Average Score : 37.6, Episode Score : 50.0, Best Score : 390.0, n_buffer : 6686, eps : 93.7%
n_episode : 140, Total Frames : 6846, Average Score : 38.7, Episode Score : 195.0, Best Score : 390.0, n_buffer : 6846, eps : 93.6%
n_episode : 141, Total Frames : 6867, Average Score : 38.4, Episode Score : 0.0, Best Score : 390.0, n_buffer : 6867, eps : 93.4%
n_episode : 142, Total Frames : 6893, Average Score : 38.2, Episode Score : 0.0, Best Score : 390.0, n_buffer : 6893, eps : 93.4%
n_episode : 143, Total Frames : 6923, Average Score : 38.0, Episode Score : 10.0, Best Score : 390.0, n_buffer : 6923, eps : 93.4%
n_episode : 144, Total Frames : 6942, Average Score : 37.8, Episode Score : 10.0, Best Score : 390.0, n_buffer : 6942, eps : 93.4%
n_episode : 145, Total Frames : 6982, Average Score : 37.7, Episode Score : 20.0, Best Score : 390.0, n_buffer : 6982, eps : 93.4%
n_episode : 146, Total Frames : 7023, Average Score : 37.6, Episode Score : 25.0, Best Score : 390.0, n_buffer : 7023, eps : 93.3%
n_episode : 147, Total Frames : 7080, Average Score : 37.4, Episode Score : 15.0, Best Score : 390.0, n_buffer : 7080, eps : 93.3%
n_episode : 148, Total Frames : 7203, Average Score : 38.1, Episode Score : 140.0, Best Score : 390.0, n_buffer : 7203, eps : 93.2%
n_episode : 149, Total Frames : 7282, Average Score : 38.4, Episode Score : 85.0, Best Score : 390.0, n_buffer : 7282, eps : 93.1%
n_episode : 150, Total Frames : 7355, Average Score : 38.6, Episode Score : 70.0, Best Score : 390.0, n_buffer : 7355, eps : 93.0%
n_episode : 151, Total Frames : 7381, Average Score : 38.4, Episode Score : 0.0, Best Score : 390.0, n_buffer : 7381, eps : 93.0%
n_episode : 152, Total Frames : 7425, Average Score : 38.2, Episode Score : 15.0, Best Score : 390.0, n_buffer : 7425, eps : 93.0%
n_episode : 153, Total Frames : 7498, Average Score : 38.5, Episode Score : 75.0, Best Score : 390.0, n_buffer : 7498, eps : 92.9%
n_episode : 154, Total Frames : 7518, Average Score : 38.2, Episode Score : 0.0, Best Score : 390.0, n_buffer : 7518, eps : 92.8%
n_episode : 155, Total Frames : 7572, Average Score : 38.0, Episode Score : 5.0, Best Score : 390.0, n_buffer : 7572, eps : 92.8%
n_episode : 156, Total Frames : 7633, Average Score : 37.9, Episode Score : 30.0, Best Score : 390.0, n_buffer : 7633, eps : 92.8%
n_episode : 157, Total Frames : 7690, Average Score : 37.8, Episode Score : 20.0, Best Score : 390.0, n_buffer : 7690, eps : 92.7%
n_episode : 158, Total Frames : 7718, Average Score : 37.6, Episode Score : 0.0, Best Score : 390.0, n_buffer : 7718, eps : 92.7%
n_episode : 159, Total Frames : 7771, Average Score : 37.5, Episode Score : 15.0, Best Score : 390.0, n_buffer : 7771, eps : 92.6%
n_episode : 160, Total Frames : 7814, Average Score : 37.3, Episode Score : 20.0, Best Score : 390.0, n_buffer : 7814, eps : 92.6%
n_episode : 161, Total Frames : 7853, Average Score : 37.2, Episode Score : 15.0, Best Score : 390.0, n_buffer : 7853, eps : 92.6%
n_episode : 162, Total Frames : 7925, Average Score : 37.3, Episode Score : 50.0, Best Score : 390.0, n_buffer : 7925, eps : 92.5%
n_episode : 163, Total Frames : 8045, Average Score : 37.6, Episode Score : 95.0, Best Score : 390.0, n_buffer : 8045, eps : 92.5%
n_episode : 164, Total Frames : 8073, Average Score : 37.5, Episode Score : 20.0, Best Score : 390.0, n_buffer : 8073, eps : 92.3%
n_episode : 165, Total Frames : 8109, Average Score : 37.5, Episode Score : 25.0, Best Score : 390.0, n_buffer : 8109, eps : 92.3%
n_episode : 166, Total Frames : 8144, Average Score : 37.2, Episode Score : 0.0, Best Score : 390.0, n_buffer : 8144, eps : 92.3%
n_episode : 167, Total Frames : 8167, Average Score : 37.1, Episode Score : 15.0, Best Score : 390.0, n_buffer : 8167, eps : 92.3%
n_episode : 168, Total Frames : 8190, Average Score : 37.1, Episode Score : 35.0, Best Score : 390.0, n_buffer : 8190, eps : 92.2%
n_episode : 169, Total Frames : 8238, Average Score : 37.4, Episode Score : 95.0, Best Score : 390.0, n_buffer : 8238, eps : 92.2%
n_episode : 170, Total Frames : 8259, Average Score : 37.3, Episode Score : 15.0, Best Score : 390.0, n_buffer : 8259, eps : 92.2%
n_episode : 171, Total Frames : 8374, Average Score : 37.9, Episode Score : 135.0, Best Score : 390.0, n_buffer : 8374, eps : 92.2%
n_episode : 172, Total Frames : 8401, Average Score : 37.6, Episode Score : 0.0, Best Score : 390.0, n_buffer : 8401, eps : 92.0%
n_episode : 173, Total Frames : 8436, Average Score : 37.5, Episode Score : 20.0, Best Score : 390.0, n_buffer : 8436, eps : 92.0%
n_episode : 174, Total Frames : 8506, Average Score : 37.7, Episode Score : 65.0, Best Score : 390.0, n_buffer : 8506, eps : 92.0%
n_episode : 175, Total Frames : 8614, Average Score : 37.9, Episode Score : 70.0, Best Score : 390.0, n_buffer : 8614, eps : 91.9%
