n_episode : 77, Total Frames : 3506, Average Score : 40.0, Episode Score : 15.0, Best Score : 340.0, n_buffer : 3506, eps : 96.6%
n_episode : 78, Total Frames : 3525, Average Score : 39.9, Episode Score : 35.0, Best Score : 340.0, n_buffer : 3525, eps : 96.6%
n_episode : 79, Total Frames : 3572, Average Score : 39.7, Episode Score : 20.0, Best Score : 340.0, n_buffer : 3572, eps : 96.6%
n_episode : 80, Total Frames : 3584, Average Score : 39.2, Episode Score : 5.0, Best Score : 340.0, n_buffer : 3584, eps : 96.5%
n_episode : 81, Total Frames : 3601, Average Score : 38.9, Episode Score : 10.0, Best Score : 340.0, n_buffer : 3601, eps : 96.5%
n_episode : 82, Total Frames : 3631, Average Score : 38.4, Episode Score : 0.0, Best Score : 340.0, n_buffer : 3631, eps : 96.5%
n_episode : 83, Total Frames : 3657, Average Score : 38.1, Episode Score : 15.0, Best Score : 340.0, n_buffer : 3657, eps : 96.5%
n_episode : 84, Total Frames : 3672, Average Score : 37.9, Episode Score : 15.0, Best Score : 340.0, n_buffer : 3672, eps : 96.4%
n_episode : 85, Total Frames : 3721, Average Score : 37.9, Episode Score : 45.0, Best Score : 340.0, n_buffer : 3721, eps : 96.4%
n_episode : 86, Total Frames : 3752, Average Score : 37.7, Episode Score : 20.0, Best Score : 340.0, n_buffer : 3752, eps : 96.4%
n_episode : 87, Total Frames : 3789, Average Score : 37.3, Episode Score : 0.0, Best Score : 340.0, n_buffer : 3789, eps : 96.4%
n_episode : 88, Total Frames : 3862, Average Score : 37.3, Episode Score : 35.0, Best Score : 340.0, n_buffer : 3862, eps : 96.3%
n_episode : 89, Total Frames : 3939, Average Score : 37.7, Episode Score : 75.0, Best Score : 340.0, n_buffer : 3939, eps : 96.2%
n_episode : 90, Total Frames : 3964, Average Score : 37.6, Episode Score : 30.0, Best Score : 340.0, n_buffer : 3964, eps : 96.2%
n_episode : 91, Total Frames : 4094, Average Score : 37.6, Episode Score : 40.0, Best Score : 340.0, n_buffer : 4094, eps : 96.2%
n_episode : 92, Total Frames : 4118, Average Score : 37.2, Episode Score : 0.0, Best Score : 340.0, n_buffer : 4118, eps : 96.0%
n_episode : 93, Total Frames : 4173, Average Score : 37.6, Episode Score : 70.0, Best Score : 340.0, n_buffer : 4173, eps : 96.0%
n_episode : 94, Total Frames : 4239, Average Score : 38.3, Episode Score : 105.0, Best Score : 340.0, n_buffer : 4239, eps : 96.0%
