n_episode : 87, Total Frames : 83562, Average Score : -20.4, Episode Score : -21.0, Best Score : -18.0, n_buffer : 83562, eps : 44.3%
n_episode : 88, Total Frames : 84382, Average Score : -20.4, Episode Score : -21.0, Best Score : -18.0, n_buffer : 84382, eps : 43.9%
n_episode : 89, Total Frames : 85932, Average Score : -20.4, Episode Score : -19.0, Best Score : -18.0, n_buffer : 85932, eps : 43.6%
n_episode : 90, Total Frames : 87117, Average Score : -20.4, Episode Score : -20.0, Best Score : -18.0, n_buffer : 87117, eps : 42.9%
n_episode : 91, Total Frames : 88027, Average Score : -20.4, Episode Score : -20.0, Best Score : -18.0, n_buffer : 88027, eps : 42.4%
n_episode : 92, Total Frames : 88968, Average Score : -20.4, Episode Score : -21.0, Best Score : -18.0, n_buffer : 88968, eps : 42.1%
n_episode : 93, Total Frames : 90063, Average Score : -20.4, Episode Score : -20.0, Best Score : -18.0, n_buffer : 90063, eps : 41.7%
n_episode : 94, Total Frames : 91217, Average Score : -20.4, Episode Score : -20.0, Best Score : -18.0, n_buffer : 91217, eps : 41.2%
n_episode : 95, Total Frames : 92435, Average Score : -20.4, Episode Score : -19.0, Best Score : -18.0, n_buffer : 92435, eps : 40.8%
n_episode : 96, Total Frames : 93410, Average Score : -20.4, Episode Score : -20.0, Best Score : -18.0, n_buffer : 93410, eps : 40.3%
n_episode : 97, Total Frames : 94395, Average Score : -20.4, Episode Score : -21.0, Best Score : -18.0, n_buffer : 94395, eps : 39.9%
n_episode : 98, Total Frames : 95277, Average Score : -20.4, Episode Score : -21.0, Best Score : -18.0, n_buffer : 95277, eps : 39.5%
n_episode : 99, Total Frames : 96239, Average Score : -20.4, Episode Score : -20.0, Best Score : -18.0, n_buffer : 96239, eps : 39.2%
n_episode : 100, Total Frames : 97404, Average Score : -20.4, Episode Score : -19.0, Best Score : -18.0, n_buffer : 97404, eps : 38.8%
n_episode : 101, Total Frames : 98597, Average Score : -20.4, Episode Score : -20.0, Best Score : -18.0, n_buffer : 98597, eps : 38.4%
n_episode : 102, Total Frames : 99618, Average Score : -20.4, Episode Score : -20.0, Best Score : -18.0, n_buffer : 99618, eps : 37.9%
n_episode : 103, Total Frames : 100683, Average Score : -20.4, Episode Score : -21.0, Best Score : -18.0, n_buffer : 100000, eps : 37.6%
n_episode : 104, Total Frames : 101822, Average Score : -20.4, Episode Score : -20.0, Best Score : -18.0, n_buffer : 100000, eps : 37.2%
n_episode : 105, Total Frames : 103268, Average Score : -20.3, Episode Score : -18.0, Best Score : -18.0, n_buffer : 100000, eps : 36.8%
n_episode : 106, Total Frames : 104396, Average Score : -20.3, Episode Score : -20.0, Best Score : -18.0, n_buffer : 100000, eps : 36.2%
n_episode : 107, Total Frames : 105793, Average Score : -20.3, Episode Score : -20.0, Best Score : -18.0, n_buffer : 100000, eps : 35.9%
